coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
CUSTOMERS BANCORP INC,170396,2019,23204G10,NYS,West Reading,PA,19611,SM,CUBI
POST HOLDINGS INC,170527,2019,73744610,NYS,Saint Louis,MO,63144,MD,POST
FACEBOOK INC,170617,2019,30303M10,NAS,Menlo Park,CA,94025,SP,FB
DIAMONDBACK ENERGY INC,170750,2019,25278X10,NAS,Midland,TX,79701,SP,FANG
PHILLIPS 66,170841,2019,71854610,NYS,Houston,TX,77042,SP,PSX
GLOBUS MEDICAL INC,171002,2019,37957720,NYS,Audubon,PA,19403,MD,GMED
SERVICENOW INC,171007,2019,81762P10,NYS,Santa Clara,CA,95054,SP,NOW
BLOOMIN' BRANDS INC,171049,2019,09423510,NAS,Tampa,FL,33607,SM,BLMN
FIVE BELOW INC,171141,2019,33829M10,NAS,Philadelphia,PA,19106,MD,FIVE
REALOGY HOLDINGS CORP,174022,2019,75605Y10,NYS,Madison,NJ,07940,SM,RLGY
PGT INNOVATIONS INC,174049,2019,69336V10,NYS,North Venice,FL,34275,SM,PGTI
COMMVAULT SYSTEMS INC,174077,2019,20416610,NAS,Tinton Falls,NJ,07724,MD,CVLT
DUNKIN' BRANDS GROUP INC,174222,2019,26550410,NAS,Canton,MA,02021,EX,DNKN
SELECT MEDICAL HOLDINGS CORP,174236,2019,81619Q10,NYS,Mechanicsburg,PA,17055,SM,SEM
KBR INC,174310,2019,48242W10,NYS,Houston,TX,77002,MD,KBR
EHEALTH INC,174389,2019,28238P10,NAS,Santa Clara,CA,95054,SM,EHTH
LEMAITRE VASCULAR INC,174390,2019,52555820,NAS,Burlington,MA,01803,SM,LMAT
WINDSTREAM HOLDINGS INC,174490,2019,97382A30,OTH,Little Rock,AR,72212,EX,WINMQ
TRAVEL PLUS LEISURE CO,174729,2019,89416410,NYS,Orlando,FL,32821,MD,TNL
EVERCORE INC,174744,2019,29977A10,NYS,New York,NY,10055,MD,EVR
ALLEGIANT TRAVEL CO,175007,2019,01748X10,NAS,Las Vegas,NV,89144,SM,ALGT
WESTERN UNION CO,175263,2019,95980210,NYS,Denver,CO,80237,SP,WU
CELSIUS HOLDINGS INC,175269,2019,15118V20,NAS,Boca Raton,FL,33431,SM,CELH
DOUGLAS EMMETT INC,175307,2019,25960P10,NYS,Santa Monica,CA,90401,MD,DEI
HANESBRANDS INC,175319,2019,41034510,NYS,Winston-Salem,NC,27105,SP,HBI
FIRST SOLAR INC,175404,2019,33643310,NAS,Tempe,AZ,85281,MD,FSLR
SALLY BEAUTY HOLDINGS INC,175900,2019,79546E10,NYS,Denton,TX,76210,SM,SBH
IPG PHOTONICS CORP,175955,2019,44980X10,NAS,Oxford,MA,01540,SP,IPGP
EMERGENT BIOSOLUTIONS INC,176022,2019,29089Q10,NYS,Gaithersburg,MD,20879,MD,EBS
ORITANI FINANCIAL CORP,176351,2019,68633D10,NAS,Washington Township,NJ,07676,EX,ORIT
AEROVIRONMENT INC,176362,2019,00807310,NAS,Arlington,VA,22202,SM,AVAV
SUPER MICRO COMPUTER INC,176567,2019,86800U10,NAS,San Jose,CA,95131,EX,SMCI
EMPLOYERS HOLDINGS INC,176591,2019,29221810,NYS,Reno,NV,89521,SM,EIG
INTERACTIVE BROKERS GROUP,176701,2019,45841N10,NAS,Greenwich,CT,06830,MD,IBKR
DOMTAR CORP,176760,2019,25755920,NYS,Fort Mill,SC,29715,SM,UFS
GLU MOBILE INC,176782,2019,37989010,NAS,San Francisco,CA,94103,EX,GLUU
RING ENERGY INC,176840,2019,76680V10,ASE,The Woodlands,TX,77380,EX,REI
BROADRIDGE FINANCIAL SOLUTNS,176928,2019,11133T10,NYS,Lake Success,NY,11042,SP,BR
CINEMARK HOLDINGS INC,177108,2019,17243V10,NYS,Plano,TX,75093,MD,CNK
TECHTARGET INC,177111,2019,87874R10,NAS,Newton,MA,02466,SM,TTGT
TE CONNECTIVITY LTD,177267,2019,H8498910,NYS,Schaffhausen,,8200,SP,TEL
JAZZ PHARMACEUTICALS PLC,177287,2019,G5087110,NAS,Dublin,,4,MD,JAZZ
DISCOVER FINANCIAL SVCS,177376,2019,25470910,NYS,Riverwoods,IL,60015,SP,DFS
COMSCORE INC,177780,2019,20564W10,NAS,Reston,VA,20190,EX,SCOR
VIRTUSA CORP,177871,2019,92827P10,NAS,Southborough,MA,01772,EX,VRTU
MASIMO CORP,177881,2019,57479510,NAS,Irvine,CA,92618,MD,MASI
CONCHO RESOURCES INC,177884,2019,20605P10,NYS,Midland,TX,79701,EX,CXO
DHI GROUP INC,177943,2019,23331S10,NYS,Centennial,CO,80111,EX,DHX
GENPACT LTD,177983,2019,G3922B10,NYS,Hamilton,,HM 10,MD,G
B. RILEY FINANCIAL INC,178073,2019,05580M10,NAS,Los Angeles,CA,90025,SM,RILY
MIMEDX GROUP INC,178157,2019,60249610,NAS,Marietta,GA,30062,EX,MDXG
TERADATA CORP,178310,2019,88076W10,NYS,San Diego,CA,92127,MD,TDC
MAIDEN HOLDINGS LTD,178371,2019,G5753U11,NAS,Pembroke,,HM 08,EX,MHLD
MSCI INC,178507,2019,55354G10,NYS,New York,NY,10007,SP,MSCI
RETAIL OPPORTUNITY INVTS CP,178539,2019,76131N10,NAS,San Diego,CA,92130,SM,ROIC
ULTA BEAUTY INC,178704,2019,90384S30,NAS,Bolingbrook,IL,60440,SP,ULTA
AMERICAN PUBLIC EDUCATION,178797,2019,02913V10,NAS,Charles Town,WV,25414,SM,APEI
ENSIGN GROUP INC,178803,2019,29358P10,NAS,San Juan Capistrano,CA,92675,SM,ENSG
LUMBER LIQUIDATORS HLDGS INC,178806,2019,55003T10,NYS,Richmond,VA,23230,SM,LL
UNITED INSURANCE HOLDINGS CO,178823,2019,91071010,NAS,Saint Petersburg,FL,33701,SM,UIHC
NORTHFIELD BANCORP INC,178834,2019,66611T10,NAS,Woodbridge,NJ,07095,SM,NFBK
RUBICON TECHNOLOGY INC,178865,2019,78112T20,NAS,Bensenville,IL,60106,EX,RBCN
FORESTAR GROUP INC,179077,2019,34623210,NYS,Arlington,TX,76006,EX,FOR
ORION GROUP HOLDINGS INC,179132,2019,68628V30,NYS,Houston,TX,77034,EX,ORN
A. H. BELO CORP,179288,2019,00128230,NYS,Dallas,TX,75222,EX,AHC
CARDIOVASCULAR SYSTEMS INC,179413,2019,14161910,NAS,Saint Paul,MN,55112,SM,CSII
AMERICAN WATER WORKS CO INC,179437,2019,03042010,NYS,Camden,NJ,08102,SP,AWK
BIOTELEMETRY INC,179441,2019,09067210,NAS,Malvern,PA,19355,EX,BEAT
VISA INC,179534,2019,92826C83,NYS,San Francisco,CA,94128,SP,V
COLFAX CORP,179577,2019,19401410,NYS,Annapolis Junction,MD,20701,MD,CFX
FABRINET,179583,2019,G3323L10,NYS,George Town,,KY1-9,SM,FN
PHILIP MORRIS INTERNATIONAL,179621,2019,71817210,NYS,New York,NY,10017,SP,PM
HILLENBRAND INC,179657,2019,43157110,NYS,Batesville,IN,47006,SM,HI
LOGMEIN INC,179666,2019,54142L10,NAS,Boston,MA,02210,EX,LOGM
SOLARWINDS CORP,179690,2019,83417Q10,NYS,Austin,TX,78735,EX,SWI
QUANEX BUILDING PRODUCTS,179819,2019,74761910,NYS,Houston,TX,77027,SM,NX
INTREPID POTASH INC,179843,2019,46121Y20,NYS,Denver,CO,80202,EX,IPI
ECHO GLOBAL LOGISTICS INC,179957,2019,27875T10,NAS,Chicago,IL,60654,SM,ECHO
HCI GROUP INC,179974,2019,40416E10,NYS,Tampa,FL,33607,SM,HCI
GRAND CANYON EDUCATION INC,180083,2019,38526M10,NAS,Phoenix,AZ,85017,MD,LOPE
BLACK KNIGHT INC,180272,2019,09215C10,NYS,Jacksonville,FL,32204,EX,BKI
ACTIVISION BLIZZARD INC,180405,2019,00507V10,NAS,Santa Monica,CA,90405,SP,ATVI
LENDINGTREE INC,180423,2019,52603B10,NAS,Charlotte,NC,28203,MD,TREE
JOHN BEAN TECHNOLOGIES,180466,2019,47783910,NYS,Chicago,IL,60602,SM,JBT
ROADRUNNER TRANS SYSTEMS INC,180562,2019,76973Q20,OTH,Downers Grove,IL,60515,EX,RRTS
MYR GROUP INC,180646,2019,55405W10,NAS,Henderson,CO,80640,SM,MYRG
